year,product_chapter,imports_trln_USD,exports_trln_USD
1995,10,0.00006075,0.00000522
1995,11,0.00000772,0.00000049
1995,12,0.00000543,0.00002418
1995,13,0.00000014,
1995,14,0.00000002,0.00000010
1995,15,0.00006085,0.00000355
1995,16,0.00000197,0.00001732
1995,17,0.00000381,0.00003378
1995,18,0.00002039,0.00000194
1995,19,0.00001241,0.00000340
1995,20,0.00000657,0.00005835
1995,21,0.00002016,0.00000230
1995,22,0.00000346,0.00000160
1995,23,0.00000564,0.00000408
1995,24,0.00000325,0.00000418
1995,25,0.00000552,0.00000016
1995,26,0.00000002,0.00000035
1995,27,0.00018678,0.00000370
1995,28,0.00000845,0.00000017
1995,29,0.00000975,0.00000195
1995,30,0.00004978,0.00009017
1995,31,0.00002486,0.00000001
1995,32,0.00000868,0.00000031
1995,33,0.00001113,0.00000016
1995,34,0.00001433,0.00000178
1995,35,0.00000201,0.00000000
1995,36,0.00000109,0.00000000
1995,37,0.00000351,0.00000011
1995,38,0.00002656,0.00000079
1995,39,0.00005144,0.00000360
1995,40,0.00004460,0.00000662
1995,41,0.00000049,0.00000567
1995,42,0.00000137,0.00000033
1995,43,0.00000002,0.00000001
1995,44,0.00000384,0.00001242
1995,45,0.00000002,
1995,46,0.00000003,0.00000003
1995,47,0.00000048,0.00000022
1995,48,0.00003267,0.00000039
1995,49,0.00000953,0.00000015
1995,50,0.00000017,0.00000049
1995,51,0.00000054,0.00000022
1995,52,0.00001494,0.00000202
1995,53,0.00000123,0.00000095
1995,54,0.00000736,0.00000028
1995,55,0.00000511,0.00000013
1995,56,0.00000092,0.00000037
1995,57,0.00000025,0.00000010
1995,58,0.00000123,0.00000003
1995,59,0.00000118,0.00000003
1995,60,0.00001166,0.00000026
1995,61,0.00000708,0.00001651
1995,62,0.00000805,0.00005790
1995,63,0.00000680,0.00000162
1995,64,0.00000626,0.00000138
1995,65,0.00000045,0.00000002
1995,66,0.00000017,
1995,67,0.00000006,0.00000010
1995,68,0.00000370,0.00000135
1995,69,0.00000367,0.00000402
1995,70,0.00001683,0.00000135
1995,71,0.00000465,0.00002819
1995,72,0.00003518,0.00000155
1995,73,0.00003011,0.00000255
1995,74,0.00000112,0.00000168
1995,75,0.00000001,0.00000005
1995,76,0.00000547,0.00000182
1995,78,0.00000028,0.00000016
1995,79,0.00000064,0.00000006
1995,80,0.00000230,0.00001197
1995,81,0.00000025,0.00000073
1995,82,0.00000579,0.00000003
1995,83,0.00000596,0.00000010
1995,84,0.00011275,0.00000718
1995,85,0.00008871,0.00001397
1995,86,0.00000019,0.00000072
1995,87,0.00007787,0.00000288
1995,88,0.00000018,0.00000098
1995,89,0.00000155,0.00000015
